itemname,tablename,action,condition,status,description,tags,notes,RunTime
OpenUp_Returns_SE_Region_toAtlanta,ReplenishmentPolicies,"Status='Include'","(FacilityName LIKE 'D_USA30336_63875*') AND (ORegion LIKE 'Southern*') AND (GreenfieldCandidate LIKE 'Y*') AND (Distance <= 1500) AND (SOIPPlan LIKE 'N*') AND ((CPUDEDICATED = 'BLANK' Or CPUDEDICATED = '')) AND ((PPCRFQ = 'BLANK' Or PPCRFQ = '')) AND (OPECOSubRegion LIKE 'US 04b*' OR OPECOSubRegion LIKE 'US 02b*' OR OPECOSubRegion LIKE 'US 03b*' OR OPECOSubRegion LIKE 'US 03a*')",,,,,2023-04-14 13:17:22
2022 Budget Plan - 02 - Budget Issues,CustomerDemand,"Status='Include'","Notes = 'Issues_OctSOIP_2022BODPlan'",,,,,2023-04-14 13:17:22
Remove Refresco - Less Customer,Customers,"Status='Exclude'","(CustomerName LIKE '*71632' OR CustomerName LIKE '*71630' OR CustomerName LIKE '*71633' OR CustomerName LIKE '*71631' OR CustomerName LIKE '*71638' OR CustomerName LIKE '*71634' OR CustomerName LIKE '*71652' OR CustomerName LIKE '*71651' OR CustomerName LIKE '*71635' OR CustomerName LIKE '*71658' OR CustomerName LIKE '*71655' OR CustomerName LIKE '*71697' OR CustomerName LIKE '*71682' OR CustomerName LIKE '*71748' OR CustomerName LIKE '*71747' OR CustomerName LIKE '*71650' OR CustomerName LIKE '*71653' OR CustomerName LIKE '*71749' OR CustomerName LIKE '*74631')",,,,,2023-04-14 13:17:22
Remove Refresco - Exclude Demand,CustomerDemand,"Status='Exclude'","(CustomerName LIKE 'I_USA14048_71630*' OR CustomerName LIKE 'I_USA64801_71631*' OR CustomerName LIKE 'I_USA63043_71632*' OR CustomerName LIKE 'I_USA78219_71633*' OR CustomerName LIKE 'I_USA27893_71634*' OR CustomerName LIKE 'I_USA76155_71638*' OR CustomerName LIKE 'I_USA19342_71635*' OR CustomerName LIKE 'I_USA33605_71652*' OR CustomerName LIKE 'I_USA63801_71651*' OR CustomerName LIKE 'I_USA91761_71658*' OR CustomerName LIKE 'I_USA99362_71655*' OR CustomerName LIKE 'I_USA92408_71697*' OR CustomerName LIKE 'I_USA31901_71682*' OR CustomerName LIKE 'I_USA29650_71748*' OR CustomerName LIKE 'I_USA74434_71653*' OR CustomerName LIKE 'I_USA07885_71747*')",,,,,2023-04-14 13:17:22
Remove Refresco - Exclude SOIP Returns,ProductionConstraints,"Status='Exclude'","Notes = 'Returns_JanSOIP'",,,,,2023-04-14 13:17:22
Annual Repair Variance - 020 - Expression - Next 06,UserDefinedConstraints,"Status='Include'","ConstraintName LIKE 'AnnualVariance_Next06*'",,,,,2023-04-14 13:17:22
Annual Repair Variance - 010 - Production - Period,ProductionConstraints,"PeriodName='Next06_Qtr'","Notes = 'AnnualVariance'",,,,,2023-04-14 13:17:22
Annual Repair Variance - 010 - Production - Period_GroupBehavior,ProductionConstraints,"PeriodNameGroupBehavior='Aggregate'","Notes = 'AnnualVariance'",,,,,2023-04-14 13:17:22
2022 Budget Plan - 21 - Include Budget MFG (2.4M Choose),ProductionConstraints,"Status='Include'","Notes = 'SOIP_MFG_2022BODPlan_V3'",,,,,2023-04-14 13:17:22
Close Ranson - Open Up Locked Returns,ReplenishmentPolicies,"Status='Include'","(SourceName LIKE 'R_USA17013_43564*' OR SourceName LIKE 'R_USA17078_44131*' OR SourceName LIKE 'R_USA17111_44147*' OR SourceName LIKE 'R_USA17225_42398*' OR SourceName LIKE 'R_USA17307_44711*' OR SourceName LIKE 'R_USA17402_44460*' OR SourceName LIKE 'R_USA17517_43007*' OR SourceName LIKE 'R_USA21701_44092*' OR SourceName LIKE 'R_USA22801_56003*') AND (GreenfieldCandidate LIKE 'Y*') AND (MileageBand LIKE 'LT0050*' OR MileageBand LIKE 'GT0050*' OR MileageBand LIKE 'GT0100*' OR MileageBand LIKE 'GT0150*' OR MileageBand LIKE 'GT0200*' OR MileageBand LIKE 'GT0300*' OR MileageBand LIKE 'GT0400*' OR MileageBand LIKE 'GT0500*' OR MileageBand LIKE 'GT1000*')",,,,,2023-04-14 13:17:22
Closed Quarterly Sites - Returns,ReplenishmentPolicies,"Status='Include'","(SourceName LIKE 'R_USA22801_56003*') AND (DDepotType = 'Full Service') AND (GreenfieldCandidate LIKE 'Y*') AND (MileageBand LIKE 'LT0050*' OR MileageBand LIKE 'GT0050*' OR MileageBand LIKE 'GT0100*' OR MileageBand LIKE 'GT0150*' OR MileageBand LIKE 'GT0200*' OR MileageBand LIKE 'GT0300*' OR MileageBand LIKE 'GT0400*' OR MileageBand LIKE 'GT0500*' OR MileageBand LIKE 'GT1000*')",,,,,2023-04-14 13:17:22
Annual Repair Variance - 010 - Production - Next 12,ProductionConstraints,"Status='Include'","Notes = 'AnnualVariance_Next12'",,,,,2023-04-14 13:17:22
Remove Refresco - Returns Less Refresco,ProductionConstraints,"Status='Include'","Notes = 'Returns_JanSOIP_Refresco'",,,,,2023-04-14 13:17:22
Remove Refresco - Less WIP in Repairs,ProductionConstraints,"Status='Include'","Notes = 'MinRepairsPerDay_Refresco'",,,,,2023-04-14 13:17:22
OpenUp_Zone2_Issues_ToKykenkee,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA43420_60584*' OR CustomerName LIKE 'I_USA54403_53910*' OR CustomerName LIKE 'I_USA64024_65600*' OR CustomerName LIKE 'I_USA64801_71631*' OR CustomerName LIKE 'I_USA65804_53905*' OR CustomerName LIKE 'I_USA62025_43080*') AND (SourceName LIKE 'D_USA35490_54027*') AND (DZone LIKE 'Zone 2*')",,,,,2023-04-14 13:17:22
Indy_IncreaseStorage,InventoryConstraints,ConstraintValue=ConstraintValue*1.1,"(FacilityName LIKE 'D_USA46235_56720*') AND (Notes LIKE 'Depot_Capacity*')",,,,,2023-04-14 13:17:22
ExcludeIssues_Midwest&PalletExpress,CustomerFulfillmentPolicies,"Status='Exclude'","(SourceName LIKE 'D_USA60432_64111*' OR SourceName LIKE 'D_USA84104_69321*')",,,,,2023-04-14 13:17:22
ExcludeReturns_Midwest&PalletExpress,ReplenishmentPolicies,"Status='Exclude'","(FacilityName LIKE 'D_USA84104_69321*' OR FacilityName LIKE 'D_USA60432_64111*') AND (SourceName LIKE 'R_*')",,,,,2023-04-14 13:17:22
OpenUpIssues_Midwest&PalletExpress,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA60104_53201*' OR CustomerName LIKE 'I_USA60104_55126*' OR CustomerName LIKE 'I_USA60433_60916*') AND (GreenfieldCandidate LIKE 'Y*') AND (Distance <= 1000) AND (SOIPPlan = 'N')",,,,,2023-04-14 13:17:22
Offset Low Inventory,ProductionConstraints,ConstraintValue=ConstraintValue+118000,"(PeriodName = 'Period 07' OR PeriodName LIKE 'Period 08*' OR PeriodName LIKE 'Period 09*') AND (FacilityName LIKE 'D_USA35490_54027*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
Adjusted Returns - New Damage Rate - Exclude Base,ProductionConstraints,"Status='Exclude'","Notes = 'Returns_MarSOIP'",,,,,2023-04-14 13:17:22
Adjusted Returns - New Damage Rate - New Profile,ProductionConstraints,"Status='Include'","Notes = 'Returns_MarSOIP_Quarterly'",,,,,2023-04-14 13:17:22
Minimum Repairs per month - Adjusted,ProductionConstraints,"Status='Include'","Notes = 'MinRepairsPerDay_Quarterly'",,,,,2023-04-14 13:17:22
Adjust Mexico MFG - Period 07,ProductionConstraints,ConstraintValue=ConstraintValue+5528,"(PeriodName LIKE 'Period 07*') AND (FacilityName LIKE 'D_MEX66052_75924*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
Adjust Mexico MFG - Period 09,ProductionConstraints,ConstraintValue=ConstraintValue+2207,"(PeriodName LIKE 'Period 09*') AND (FacilityName LIKE 'D_MEX66052_75924*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
Adjust Mexico MFG - Period 11,ProductionConstraints,ConstraintValue=ConstraintValue+942,"(PeriodName LIKE 'Period 11*') AND (FacilityName LIKE 'D_MEX66052_75924*') AND (Notes = 'SOIP_MFG')",,,,,2023-04-14 13:17:22
FQ Anderson Operational Sourcing,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA29626_46323*') AND (SourceName LIKE '*63875' OR SourceName LIKE '*59068' OR SourceName LIKE '*60457' OR SourceName LIKE '*63577')",,,,,2023-04-14 13:17:22
FQ Anderson All Sourcing,CustomerFulfillmentPolicies,"Status='Exclude'","CustomerName LIKE  'I_USA29626_46323*'",,,,,2023-04-14 13:17:22
Dallas Option For MFG Renters,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA30046_58622*' OR CustomerName LIKE 'I_USA30701_67217*' OR CustomerName LIKE 'I_USA30701_66866*' OR CustomerName LIKE 'I_USA35601_44000*' OR CustomerName LIKE 'I_USA30705_66835*' OR CustomerName LIKE 'I_USA31750_76918*' OR CustomerName LIKE 'I_USA30144_56205*' OR CustomerName LIKE 'I_USA31407_69822*' OR CustomerName LIKE 'I_USA30253_59641*' OR CustomerName LIKE 'I_USA30253_73996*' OR CustomerName LIKE 'I_USA36303_71600*' OR CustomerName LIKE 'I_USA36732_63215*' OR CustomerName LIKE 'I_USA60123_60023*' OR CustomerName LIKE 'I_USA39817_77164*' OR CustomerName LIKE 'I_USA61821_54008*' OR CustomerName LIKE 'I_USA29072_59654*' OR CustomerName LIKE 'I_USA30152_77124*' OR CustomerName LIKE 'I_USA35603_63135*' OR CustomerName LIKE 'I_USA30458_70761*' OR CustomerName LIKE 'I_USA35022_63824*' OR CustomerName LIKE 'I_USA35209_76847*' OR CustomerName LIKE 'I_USA30721_64476*' OR CustomerName LIKE 'I_USA30720_45108*' OR CustomerName LIKE 'I_USA23970_70684*' OR CustomerName LIKE 'I_USA27360_45306*' OR CustomerName LIKE 'I_USA27809_59356*' OR CustomerName LIKE 'I_USA35224_66425*' OR CustomerName LIKE 'I_USA53073_74533*' OR CustomerName LIKE 'I_USA53042_67443*' OR CustomerName LIKE 'I_USA27537_76610*' OR CustomerName LIKE 'I_USA23851_58529*' OR CustomerName LIKE 'I_USA27877_51391*' OR CustomerName LIKE 'I_USA39401_64933*' OR CustomerName LIKE 'I_USA29730_66845*' OR CustomerName LIKE 'I_USA60510_45668*' OR CustomerName LIKE 'I_USA28590_59841*' OR CustomerName LIKE 'I_USA28166_67451*' OR CustomerName LIKE 'I_USA42445_65955*' OR CustomerName LIKE 'I_USA28086_65155*' OR CustomerName LIKE 'I_USA40391_74516*') AND (SourceName LIKE 'D_USA75212_67095*')",,,,,2023-04-14 13:17:22
AOP 2023 - MFG V2,ProductionConstraints,"Status='Include'","Notes = 'MFG_AOP_2023_V2'",,,,,2023-04-14 13:17:22
AOP 2023 - Increase MFG in Period 04 To offset Inv and Returns V2,ProductionConstraints,ConstraintValue=ConstraintValue+57642,"(PeriodName LIKE 'Period 01*' OR PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*' OR PeriodName LIKE 'Period 04*') AND (FacilityName LIKE 'D_USA35490_54027*' AND Notes = 'MFG_AOP_2023_V2')",,,,,2023-04-14 13:17:22
Infeasibility Correction - MFG,ProductionConstraints,ConstraintValue=ConstraintValue+1172,"(PeriodName LIKE 'Period 14*' AND FacilityName LIKE 'D_USA35401_46146*') AND (Notes LIKE 'SOIP_MFG_2022BODPlan*')",,,,,2023-04-14 13:17:22
Exclude Base - MFG,ProductionConstraints,"Status='Exclude'","Notes = 'SOIP_MFG'",,,,,2023-04-14 13:17:22
AOP 2023 - Returns,ProductionConstraints,"Status='Include'","Notes = 'Returns_AOP_2023'",,,,,2023-04-14 13:17:22
Exclude Base - Issues,CustomerDemand,"Status='Exclude'","Notes = 'Issues_SeptemberSOIP'",,,,,2023-04-14 13:17:22
AOP 2023 - Issues,CustomerDemand,"Status='Include'","Notes = 'Issues_AOP_2023'",,,,,2023-04-14 13:17:22
Annual Repair Variance - 020 - Expression - Next 06_supporting_item,UserDefinedVariables,"Status='Include'","VariableName LIKE 'AnnualVariance_Next06*'",,,,,2023-04-14 13:17:22
Annual Repair Variance - 020 - Expression - Next 12_supporting_item,UserDefinedVariables,"Status='Include'","VariableName LIKE 'MonthlyRepairVariance*'",,,,,2023-04-14 13:17:22
OpenUpReturns_Midwest&PalletExpress,ReplenishmentPolicies,"Status='Include'","(SourceName LIKE 'R_USA60608_50644*' OR SourceName LIKE 'R_USA60104_55126*' OR SourceName LIKE 'R_USA64507_62638*' OR SourceName LIKE 'R_USA43551_62805*' OR SourceName LIKE 'R_USA61252_65253*' OR SourceName LIKE 'R_USA60406_70495*') AND (Distance <= 1000) AND (SOIPPlan LIKE 'N*') AND ((CPUDEDICATED = 'BLANK' Or CPUDEDICATED = ''))",,,,,2023-04-14 13:17:22
Reduced_Rates_20%,TransportationPolicies,FixedCost=FixedCost/1.2,"RateUsed LIKE 'MarketRate*'",,,,,2023-04-14 13:17:22
Issues_Open_LT_6000plts_permonth,CustomerFulfillmentPolicies,"Status='Include'","(GreenfieldCandidate LIKE 'Y*') AND (SOIPPlan LIKE 'N*') AND (CPUDedicated != 'C' AND CPUDedicated != 'D' AND CPUDedicated != 'ND' AND CPUDedicated != 'NC') AND (MONTHLY_AVG < 6000) AND (MileageBand LIKE 'LT1000*')",,,,,2023-04-14 13:17:22
All - Cust Sourcing 1000Miles_Locked_CPU_DedTest,CustomerFulfillmentPolicies,"Status='Include'","(GreenfieldCandidate LIKE 'Y*') AND (SOIPPlan = 'N') AND (CPUDedicated != 'C' AND CPUDedicated != 'D' AND CPUDedicated != 'NC' AND CPUDedicated != 'ND') AND (MileageBand LIKE 'LT1000*')",,,,,2023-04-14 13:17:22
Offshore_Returns,ReplenishmentPolicies,"Status='Exclude'","(SourceName LIKE 'R_USA967*') AND (SOIPPlan LIKE 'N*')",,,,,2023-04-14 13:17:22
Issues_3in1,CustomerFulfillmentPolicies,"Status='Include'","(GreenfieldCandidate LIKE 'Y*') AND (SOIPPlan LIKE 'N*') AND (CPUDedicated != 'C' AND CPUDedicated != 'D' AND CPUDedicated != 'ND' AND CPUDedicated != 'NC') AND ([UserDefinedField27] < 3500) AND (NUMBER_OF_DEPOTS_SERVED > 1) AND (MileageBand LIKE 'LT1000*')",,,,,2023-04-14 13:17:22
Returns_3in1,ReplenishmentPolicies,"Status='Include'","(SourceName LIKE 'R*') AND (GreenfieldCandidate LIKE 'Y*') AND (SOIPPlan LIKE 'n*') AND (CPUDEDICATED != 'C' AND CPUDEDICATED != 'D' AND CPUDEDICATED != 'ND' AND CPUDEDICATED != 'NC') AND (MONTHLY_AVG < 3500) AND (NUMBER_OF_DEPOTS_SERVED > 1) AND (MileageBand LIKE 'LT1500*')",,,,,2023-04-14 13:17:22
Puerto Rico Returns - Keep to SOIP,ReplenishmentPolicies,"Status='Exclude'","(DDepotType LIKE 'PR*') AND (GreenfieldCandidate LIKE 'Y*') AND (SOIPPlan LIKE 'N*')",,,,,2023-04-14 13:17:22
Adjust Atlas - Hazleton Option,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA17033_45786*' OR CustomerName LIKE 'I_USA17033_55754*' OR CustomerName LIKE 'I_USA22603_53908*' OR CustomerName LIKE 'I_USA17241_75875*' OR CustomerName LIKE 'I_USA8817_75870*') AND (SourceName LIKE 'D_USA18202_50843*')",,,,,2023-04-14 13:17:22
Adjust Atlas - Gaffney Option,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA27105_69800*' OR CustomerName LIKE 'I_USA27860_68071*') AND (SourceName LIKE 'D_USA29340_60457*')",,,,,2023-04-14 13:17:22
Issues - Optimization,CustomerFulfillmentPolicies,"Status='Include'","AddToModel = 'Y'",,,,,2023-04-14 13:17:22
Max WIP Inventory - Expression Constraints_supporting_item,UserDefinedVariables,"Status='Include'","VariableName LIKE 'MaxWIPInventory*'",,,,,2023-04-14 13:17:22
Exclude_Customer_81399,Customers,"Status='Exclude'","corpcode='81399'",Include,,,,2023-04-14 13:17:22
Update_production_constraints_81399,ProductionConstraints,constraintvalue = account_81399,,Include,,,,2023-04-14 13:17:22
Exclude_Customer_81384,Customers,"Status='Exclude'","corpcode='81384'",Include,,,,2023-04-14 13:17:22
Update_production_constraints_81384,ProductionConstraints,constraintvalue = account_81384,,Include,,,,2023-04-14 13:17:22
Hazleton Storage - Services Hazleton Only SS,ReplenishmentPolicies,"Status='Exclude'","(FacilityName != 'D_USA18202_50843') AND (SourceName LIKE 'D_USA18202_68941*') AND (Notes LIKE 'Baseline_Transfers*')",,,,,2023-04-14 13:17:22
Open Closest Depot for MFG Renters,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA27360_45306*' OR CustomerName LIKE 'I_USA28086_65155*' OR CustomerName LIKE 'I_USA28166_67451*' OR CustomerName LIKE 'I_USA29072_59654*' OR CustomerName LIKE 'I_USA30144_56205*' OR CustomerName LIKE 'I_USA30701_67217*' OR CustomerName LIKE 'I_USA30720_45108*' OR CustomerName LIKE 'I_USA39401_64933*') AND (ClosestDepot LIKE 'Y*') AND (LiveLoad LIKE 'Y*')",,,,,2023-04-14 13:17:22
Monthly Adj Cottondale MFG - Period 02,ProductionConstraints,ConstraintValue=ConstraintValue+903,"(PeriodName LIKE 'Period 02*') AND (FacilityName LIKE 'D_USA35401_46146*') AND (Notes LIKE 'SOIP_MFG*')",,,,,2023-04-14 13:17:22
Dedicated and CPU Lanes - Issues,CustomerFulfillmentPolicies,"Status='Include'","(CPUDedicated LIKE 'D*' OR CPUDedicated LIKE 'C*')",,,,,2023-04-14 13:17:22
Dedicated and CPU Lanes - Returns,ReplenishmentPolicies,"Status='Include'","(CPUDEDICATED LIKE 'C*' OR CPUDEDICATED LIKE 'D*')",,,,,2023-04-14 13:17:22
AOP 2023 - MFG,ProductionConstraints,"Status='Include'","Notes = 'MFG_AOP_2023'",,,,,2023-04-14 13:17:22
Exclude Base - Returns,ProductionConstraints,"Status='Exclude'","Notes = 'Returns_SeptemberSOIP'",,,,,2023-04-14 13:17:22
Exclude Base - Min Repairs,ProductionConstraints,"Status='Exclude'","Notes = 'MinRepairsPerDay'",,,,,2023-04-14 13:17:22
AOP 2023 - Min Repairs,ProductionConstraints,"Status='Include'","Notes = 'MinRepairsPerDay_AOP_2023'",,,,,2023-04-14 13:17:22
AOP 2023 - MFG Annual Cap,ProductionConstraints,"Status='Include'","Notes = 'AnnualMFG_Maximum'",,,,,2023-04-14 13:17:22
AOP 2023 - Increase MFG in Period 04 To offset Inv and Returns,ProductionConstraints,ConstraintValue=ConstraintValue+57642,"(PeriodName LIKE 'Period 01*' OR PeriodName LIKE 'Period 02*' OR PeriodName LIKE 'Period 03*' OR PeriodName LIKE 'Period 04*') AND (FacilityName LIKE 'D_USA35490_54027*' AND Notes = 'MFG_AOP_2023')",,,,,2023-04-14 13:17:22
